id;Full_Name;Project_id;Nomination;Prize;login;password
79;Акулина Семеновна Васильева;9223;Меняющие реальность;2702000;Акулина_СВ;zvGNpiYgi)
80;Арсений Демьянович Беляев;1496;Молодой новатор;2707000;Арсений_ДБ;5pXAw?id1K
81;Владлен Арсеньевич Рыбаков;1819;Меняющие реальность;596000;Владлен_АР;)FlcOOemqx
82;Борис Эдгарович Брагин;3489;Двигатель прогресса;494000;Борис_ЭБ;XD1.VyjxLp
83;Ратибор Адрианович Харитонов;4994;Проект будущего;1874000;Ратибор_АХ;gskr.HMzHB
84;Феврония Леонидовна Доронина;3691;Лидеры инноваций;1703000;Феврония_ЛД;xjLiuDwxR!
85;Кондрат Эдгардович Поляков;7769;Лидеры инноваций;942000;Кондрат_ЭП;o5wtXvUBNU
86;Ольга Федоровна Сысоева;2184;Двигатель прогресса;1832000;Ольга_ФС;aV77hV40hg
87;Лидия Максимовна Кириллова;1722;Двигатель прогресса;723000;Лидия_МК;f2YpRlEKAs
88;Глафира Александровна Ершова;7589;Меняющие реальность;2759000;Глафира_АЕ;R9N.mB0BhI
89;Алина Вячеславовна Исаева;2110;Меняющие реальность;2675000;Алина_ВИ;v(murnvfaJ
90;Аскольд Марсович Красильников;3982;Меняющие реальность;2537000;Аскольд_МК;HsUrmRHeZM
91;Анисим Владиленович Баранов;2549;Молодой новатор;2656000;Анисим_ВБ;eMwZRmwZ)7
92;Октябрина Валериевна Григорьева;6395;Лидеры инноваций;177000;Октябрина_ВГ;yvStOPJL.Z
93;Никандр Игоревич Юдин;1061;Двигатель прогресса;2208000;Никандр_ИЮ;56jonciUOT
94;Валерьян Ерофеевич Шилов;5792;Меняющие реальность;1174000;Валерьян_ЕШ;aggIfaM(?x
95;Прасковья Олеговна Николаева;8349;Лидеры инноваций;1997000;Прасковья_ОН;H9Qm7.gkZ4
96;Клавдий Игнатович Королев;9694;Лидеры инноваций;NULL;Клавдий_ИК;4RRW71A4aH
97;Наталья Даниловна Евдокимова;2578;Меняющие реальность;2254000;Наталья_ДЕ;tcUCmU1j!L
98;Глафира Владиславовна Воронцова;5195;Лидеры инноваций;1435000;Глафира_ВВ;eLEfC57Eqg
99;Зиновий Давыдович Белоусов;4198;Молодой новатор;1878000;Зиновий_ДБ;7k3(unO3W(
100;София Сергеевна Михеева;3921;Лидеры инноваций;545000;София_СМ;pQFeHLi?Zg
101;Екатерина Альбертовна Кудрявцева;4428;Двигатель прогресса;1429000;Екатерина_АК;8pW8spe2(F
102;Мариан Валентинович Рыбаков;8888;Молодой новатор;1533000;Мариан_ВР;sEIsJdFA(a
103;Нинель Архиповна Крюкова;3128;Двигатель прогресса;2433000;Нинель_АК;zv4J0CkWiA
104;Екатерина Антоновна Вишнякова;4136;Молодой новатор;1204000;Екатерина_АВ;p7SSzQEHxP
105;Илья Фролович Уваров;6274;Проект будущего;923000;Илья_ФУ;LxQ9AlWGlu
106;Надежда Архиповна Алексеева;7060;Молодой новатор;350000;Надежда_АА;W?f142mlI0
107;Максимильян Евстигнеевич Зиновьев;7687;Меняющие реальность;2933000;Максимильян_ЕЗ;5)xIH)j)Q.
108;Феоктист Всеволодович Лебедев;4512;Проект будущего;2822000;Феоктист_ВЛ;4HCNtTsHNR
109;Елена Мироновна Соболева;1070;Двигатель прогресса;1704000;Елена_МС;.L!uMdzfM)
110;Глафира Яковлевна Семенова;4994;Двигатель прогресса;2285000;Глафира_ЯС;jUZloMl!!f
111;Марфа Александровна Петухова;2034;Лидеры инноваций;1790000;Марфа_АП;VH7A75)PZG
112;Аким Елизарович Сафонов;7293;Лидеры инноваций;1958000;Аким_ЕС;HlkxApUG1N
113;Венедикт Чеславович Лебедев;9162;Проект будущего;1705000;Венедикт_ЧЛ;QP8RY!Nly5
114;Вера Александровна Михеева;3914;Молодой новатор;1657000;Вера_АМ;Fd4oe3IhWU
115;Лавр Ильич Титов;5491;Двигатель прогресса;1580000;Лавр_ИТ;nbEjBYGsO1
116;Ульяна Яковлевна Зыкова;2557;Двигатель прогресса;581000;Ульяна_ЯЗ;KlTH8ei9?T
117;Алексей Адамович Рыбаков;5168;Меняющие реальность;2653000;Алексей_АР;Mzyp!m9j8o
118;Кир Бориславович Комаров;5332;Меняющие реальность;856000;Кир_БК;XE7UsWv6Xl
119;Митофан Аксёнович Федоров;1162;Проект будущего;291000;Митофан_АФ;ykIkeYJ1V9
120;Савелий Германович Зыков;1206;Меняющие реальность;839000;Савелий_ГЗ;2!x?Y(ij2y
121;Елисей Ефимович Кошелев;2557;Проект будущего;250000;Елисей_ЕК;yoXmj!j7yr
122;Адриан Яковлевич Денисов;8779;Двигатель прогресса;1950000;Адриан_ЯД;1FU9Yzmo6d
123;Селиверст Даниилович Большаков;6847;Меняющие реальность;1524000;Селиверст_ДБ;o7B2D7jCNU
124;Владислав Федосеевич Фадеев;3344;Проект будущего;467000;Владислав_ФФ;cFq3fitJDo
125;Игорь Харитонович Устинов;1883;Меняющие реальность;1169000;Игорь_ХУ;I5EgnKvNCr
126;Алина Семеновна Игнатьева;9110;Молодой новатор;2724000;Алина_СИ;65BMMiiRBW
127;Всеволод Яковлевич Сафонов;5981;Молодой новатор;1501000;Всеволод_ЯС;Y3m3POOEOE
128;Селиверст Давидович Щукин;1512;Меняющие реальность;757000;Селиверст_ДЩ;jGdRQoYM!C
129;Анжелика Артемовна Потапова;3722;Лидеры инноваций;2469000;Анжелика_АП;fSOs?zbZrH
130;Адриан Витальевич Захаров;4237;Лидеры инноваций;172000;Адриан_ВЗ;9eX.yLva(i
131;Исидор Ануфриевич Субботин;5228;Меняющие реальность;2919000;Исидор_АС;rlPvSZ1?mj
132;Лора Ждановна Исаева;6395;Меняющие реальность;2796000;Лора_ЖИ;2!qSfpr.I0
133;Афиноген Трифонович Аксенов;4083;Молодой новатор;2515000;Афиноген_ТА;hp)3(Ng!oH
134;Акулина Викторовна Коновалова;3855;Меняющие реальность;1761000;Акулина_ВК;V2.3vSMe??
135;Марина Ефимовна Тетерина;4994;Меняющие реальность;1748000;Марина_ЕТ;yXkad9UxEx
136;Парфен Васильевич Михеев;2308;Молодой новатор;2345000;Парфен_ВМ;iwtUtYQH8v
137;Оксана Оскаровна Быкова;6007;Проект будущего;2009000;Оксана_ОБ;6R1CiKC?nP
138;Ираида Степановна Соколова;9961;Двигатель прогресса;338000;Ираида_СС;wpOxFZmb22
139;Лариса Вадимовна Тетерина;2959;Двигатель прогресса;113000;Лариса_ВТ;lO3Ew!knw?
140;Дарья Эдуардовна Кулакова;8333;Проект будущего;909000;Дарья_ЭК;tSr6LRNwGU
141;Эмиль Гордеевич Пестов;9454;Лидеры инноваций;2283000;Эмиль_ГП;9YXRkT8oSW
142;Кира Эдуардовна Юдина;6986;Двигатель прогресса;2967000;Кира_ЭЮ;kxHluKFU(p
143;Наталья Ждановна Стрелкова;1332;Проект будущего;2871000;Наталья_ЖС;zRo!(XFglp
144;Борислав Фокич Филиппов;7312;Двигатель прогресса;1665000;Борислав_ФФ;nXmEZuyzrU
145;Назар Феодосьевич Красильников;3773;Двигатель прогресса;2619000;Назар_ФК;AvDNprh6z.
146;Чеслав Викентьевич Филиппов;9465;Лидеры инноваций;1570000;Чеслав_ВФ;W?sKQOAMN)
147;Прокл Васильевич Пестов;3656;Меняющие реальность;331000;Прокл_ВП;Is)F0ck2sI
148;Агата Матвеевна Маслова;5307;Лидеры инноваций;463000;Агата_ММ;z5SMvo8!HI
149;Федосий Ермилович Кузьмин;1332;Проект будущего;897000;Федосий_ЕК;vhLc3mE)))
150;Павел Глебович Королев;7131;Молодой новатор;1669000;Павел_ГК;qTTg5LMH?z
151;Ладимир Федотович Осипов;5121;Двигатель прогресса;1021000;Ладимир_ФО;oVv?w(NgnI
152;Владилен Августович Шарапов;1775;Лидеры инноваций;1241000;Владилен_АШ;TMgVE3Ct9n
153;Виктория Ивановна Цветкова;6761;Молодой новатор;1927000;Виктория_ИЦ;h1FGHeiFOO
154;Олимпиада Кирилловна Иванова;6638;Меняющие реальность;351000;Олимпиада_КИ;oqB1HK2gar
155;Фирс Елизарович Шаров;9036;Двигатель прогресса;1385000;Фирс_ЕШ;Qr1OsX1vTC
156;Ипат Давыдович Мартынов;5332;Лидеры инноваций;622000;Ипат_ДМ;Sg8hq.!SdL
157;Марина Ждановна Уварова;7451;Меняющие реальность;2856000;Марина_ЖУ;I9TaI3XU!0
158;Ксения Игоревна Баранова;2088;Меняющие реальность;2074000;Ксения_ИБ;GPzhTg2gIO
159;Аркадий Ефимович Жуков;6274;Проект будущего;768000;Аркадий_ЕЖ;Kh.tS)u2vH
160;Фёкла Романовна Осипова;2034;Меняющие реальность;2339000;Фёкла_РО;smctBgOHi9
161;Никон Артурович Орлов;4237;Лидеры инноваций;1155000;Никон_АО;S7P3?ka14G
162;Раиса Тарасовна Куликова;8888;Меняющие реальность;970000;Раиса_ТК;M58T05Fgdq
163;Феврония Афанасьевна Большакова;6311;Двигатель прогресса;961000;Феврония_АБ;pVYhztP32O
164;Ким Валерьевич Константинов;9676;Двигатель прогресса;2520000;Ким_ВК;GkK7.HgJPM
165;Ольга Вадимовна Громова;4495;Молодой новатор;998000;Ольга_ВГ;1T8!k7vc?C
166;Демид Филимонович Куликов;4446;Меняющие реальность;2559000;Демид_ФК;4v?jm(EuWO
167;Олимпий Харитонович Русаков;7589;Молодой новатор;2997000;Олимпий_ХР;ZF3rmFApo0
168;Тихон Ерофеевич Воробьев;4428;Меняющие реальность;682000;Тихон_ЕВ;AdAAkE!(FC
169;Исидор Гурьевич Блинов;9002;Молодой новатор;NULL;Исидор_ГБ;0v1SpcWd9!
170;Лидия Львовна Галкина;5195;Молодой новатор;1124000;Лидия_ЛГ;USazX1QCFm
171;Алла Кузьминична Зайцева;2768;Меняющие реальность;NULL;Алла_КЗ;lLqBu.wUO0
172;Анна Наумовна Куликова;6155;Молодой новатор;1041000;Анна_НК;ZzkYdf52qn
173;Болеслав Августович Рожков;2480;Меняющие реальность;2408000;Болеслав_АР;5HCGSVhG.R
174;София Аскольдовна Моисеева;3722;Молодой новатор;2875000;София_АМ;nd5sV7w2jY
175;Богдан Иосипович Овчинников;8557;Двигатель прогресса;2140000;Богдан_ИО;79P!b0urnf
176;Нинель Артемовна Носкова;6461;Молодой новатор;2522000;Нинель_АН;OfVcGNC.Xv
177;Борислав Антонович Комиссаров;6761;Проект будущего;680000;Борислав_АК;!pr.kR)Nl9
178;Иванна Анатольевна Кулакова;2480;Проект будущего;NULL;Иванна_АК;5XhwZYIglg
179;Любовь Вячеславовна Медведева;4083;Двигатель прогресса;2828000;Любовь_ВМ;pqSjtl3ykY
180;Марфа Сергеевна Мельникова;3855;Молодой новатор;1354000;Марфа_СМ;hp(H9Ezz8P
181;Наталья Вячеславовна Евдокимова;9178;Лидеры инноваций;2884000;Наталья_ВЕ;1D083n9Ysp
182;Аким Федосеевич Мартынов;9223;Лидеры инноваций;1060000;Аким_ФМ;C!RzmOqxOe
183;Аверьян Дорофеевич Рогов;5400;Меняющие реальность;947000;Аверьян_ДР;uKe)ISb4QP
184;Евлампий Глебович Филатов;2419;Лидеры инноваций;794000;Евлампий_ГФ;dxjV)rHXdD
185;Ратибор Феоктистович Горбунов;7792;Лидеры инноваций;745000;Ратибор_ФГ;OcWCplb.?!
186;Архип Фокич Мишин;6638;Молодой новатор;2198000;Архип_ФМ;yy7yviC4Z)
187;Эмилия Николаевна Степанова;8165;Проект будущего;1682000;Эмилия_НС;1?8Yx)tX.z
188;Жанна Юльевна Лихачева;2947;Меняющие реальность;1546000;Жанна_ЮЛ;xb?EtLB.cj
189;Митофан Бориславович Ермаков;1332;Меняющие реальность;1920000;Митофан_БЕ;nZdNc6h4lQ
190;Фаина Владиславовна Большакова;1496;Проект будущего;2973000;Фаина_ВБ;fCUIbXHn4J
191;Иван Арсенович Киселев;4923;Молодой новатор;1827000;Иван_АК;bXpMHBwIRY
192;Добромысл Германович Константинов;6262;Меняющие реальность;415000;Добромысл_ГК;YbAtLarxG1
193;Татьяна Рубеновна Степанова;1939;Меняющие реальность;2644000;Татьяна_РС;vntfZkpGri
194;Регина Егоровна Кириллова;3722;Молодой новатор;1520000;Регина_ЕК;qiucCrvdZ8
195;Савва Эдгарович Кудряшов;8283;Двигатель прогресса;2548000;Савва_ЭК;b)V)NHbdRf
196;Марфа Вениаминовна Орлова;3821;Меняющие реальность;509000;Марфа_ВО;VMQkupxLv5
197;Клавдия Федоровна Алексеева;2706;Молодой новатор;1081000;Клавдия_ФА;5!pV9nrb.3
198;Вячеслав Филатович Кириллов;1939;Двигатель прогресса;739000;Вячеслав_ФК;13Jm9laHYk
199;Клавдия Тарасовна Зыкова;7240;Двигатель прогресса;NULL;Клавдия_ТЗ;9ISQpJBfDp
200;Галина Аркадьевна Шилова;1939;Проект будущего;2058000;Галина_АШ;4QuEbDs1ul
201;Виталий Георгиевич Григорьев;3556;Проект будущего;2147000;Виталий_ГГ;HWawvitpfi
202;Эмилия Сергеевна Гусева;7197;Проект будущего;1378000;Эмилия_СГ;1sUU3zLcw.
203;Тихон Андреевич Евдокимов;4428;Молодой новатор;NULL;Тихон_АЕ;d)B9YUGQ8G
204;Боян Зиновьевич Осипов;2152;Лидеры инноваций;2925000;Боян_ЗО;!lo6Dhhhc(
205;Ольга Харитоновна Рожкова;6395;Меняющие реальность;1952000;Ольга_ХР;Dtu2M8FpcG
206;Василиса Максимовна Герасимова;1358;Меняющие реальность;463000;Василиса_МГ;jJZfrxMkYJ
207;София Семеновна Лаврентьева;8080;Проект будущего;2124000;София_СЛ;BKkDI(7150
208;Антонина Михайловна Зуева;5325;Лидеры инноваций;658000;Антонина_МЗ;EcB!NG5d4W
209;Галина Наумовна Панфилова;8018;Молодой новатор;2930000;Галина_НП;Eouz!cIZeF
210;Орлов Лаврентий Витальевич;5988;Молодой новатор;1747000;Орлов_ЛВ;.JA8GOC4f!
211;Виктория Кузьминична Гордеева;5228;Молодой новатор;842000;Виктория_КГ;X5Fl3SYnNz
212;Ермил Аксёнович Терентьев;8062;Двигатель прогресса;1456000;Ермил_АТ;YIbOdFummv
213;Кузьма Аксёнович Павлов;7318;Меняющие реальность;515000;Кузьма_АП;E5eb!ETI?S
214;Панкрат Жоресович Королев;3821;Проект будущего;1464000;Панкрат_ЖК;u8nUF7eAJg
215;Феврония Андреевна Князева;4237;Двигатель прогресса;1022000;Феврония_АК;A!)2rw9ks3
216;Климент Демьянович Гущин;5325;Молодой новатор;2298000;Климент_ДГ;vAmR9(ffI8
217;Евдокия Валериевна Щербакова;4994;Проект будущего;1622000;Евдокия_ВЩ;wg.wrpKMa7
218;Анисим Матвеевич Никитин;3834;Меняющие реальность;2645000;Анисим_МН;sUK19akktS
219;Таисия Львовна Павлова;6789;Молодой новатор;2098000;Таисия_ЛП;8Zr7mZaAK!
220;Фотий Августович Громов;9649;Меняющие реальность;2256000;Фотий_АГ;8WF!c(s9m1
221;Элеонора Юльевна Аксенова;9437;Лидеры инноваций;302000;Элеонора_ЮА;qC2lBxWvQ5
222;Гордеева Елизавета Юрьевна;7318;Проект будущего;570000;Гордеева_ЕЮ;ZN4SNi!2Ze
223;Зиновий Трофимович Стрелков;7636;Двигатель прогресса;2860000;Зиновий_ТС;BC9g7FQxSI
224;Дарья Ниловна Юдина;2384;Лидеры инноваций;2036000;Дарья_НЮ;dhKCHyzci0
225;Иларион Харламович Медведев;7553;Двигатель прогресса;1410000;Иларион_ХМ;io8IYsV!py
226;Ирина Филипповна Маркова;5233;Двигатель прогресса;561000;Ирина_ФМ;X3ANfG)2l5
227;Афанасий Тарасович Волков;3516;Проект будущего;1327000;Афанасий_ТВ;)Ymlc.5tfJ
228;Фадей Трифонович Гущин;5379;Молодой новатор;2013000;Фадей_ТГ;3N!jtc9rJw
229;Евдокия Алексеевна Аксенова;5537;Двигатель прогресса;571000;Евдокия_АА;iTdnrQooA0
230;Антонина Мироновна Симонова;6155;Лидеры инноваций;765000;Антонина_МС;Euh6KXHqi!
231;Татьяна Львовна Тимофеева;8045;Меняющие реальность;1787000;Татьяна_ЛТ;arMaT8HShp
232;Леонтий Герасимович Кононов;3855;Проект будущего;2175000;Леонтий_ГК;W4NS0TtK3E
233;Валерия Альбертовна Ефремова;4087;Молодой новатор;1835000;Валерия_АЕ;W7zt6iXwJA
234;Владимир Витальевич Баранов;2706;Лидеры инноваций;1238000;Владимир_ВБ;nOxDLCPAj1
235;Марфа Руслановна Рыбакова;7514;Проект будущего;1066000;Марфа_РР;iwkPygGjVx
236;Ерофей Архипович Цветков;5045;Двигатель прогресса;2070000;Ерофей_АЦ;LGugToat?P
237;Зосима Владленович Марков;9251;Двигатель прогресса;503000;Зосима_ВМ;AsZn1PBEiP
238;Эдуард Бориславович Соколов;7589;Лидеры инноваций;1763000;Эдуард_БС;S7u97EO9eL
239;Феврония Тимофеевна Гущина;3821;Лидеры инноваций;862000;Феврония_ТГ;WdsWcbkmHr
240;Святослав Венедиктович Волков;3296;Двигатель прогресса;228000;Святослав_ВВ;UmsBV!5vjs
241;Регина Харитоновна Русакова;2822;Проект будущего;363000;Регина_ХР;hpioWB4Ozn
242;Глафира Наумовна Лазарева;9311;Лидеры инноваций;2709000;Глафира_НЛ;nXz56WY(c)
243;Дарья Романовна Рожкова;3556;Проект будущего;1842000;Дарья_РР;vBKhYW8GNZ
244;Богдан Артёмович Федоров;8492;Молодой новатор;617000;Богдан_АФ;M!5yuzR8yL
245;Акулина Федоровна Шашкова;5186;Молодой новатор;2792000;Акулина_ФШ;1jehg?qTuN
246;Ульян Захарьевич Логинов;5160;Молодой новатор;1730000;Ульян_ЗЛ;!46SS(1Z4L
247;Таисия Захаровна Рогова;1814;Двигатель прогресса;1627000;Таисия_ЗР;GF5g8w7(r!
248;Глафира Валериевна Лапина;6789;Лидеры инноваций;2346000;Глафира_ВЛ;a4klLRt9lb
249;Олимпиада Егоровна Панова;2412;Молодой новатор;1806000;Олимпиада_ЕП;xeOI1vG0Mg
250;Герасим Фёдорович Никифоров;6155;Лидеры инноваций;549000;Герасим_ФН;6(R9W9mW3B
251;Олимпиада Ивановна Маркова;5699;Молодой новатор;NULL;Олимпиада_ИМ;A(98m1pG)O
252;Елена Кузьминична Михайлова;1420;Меняющие реальность;2420000;Елена_КМ;Bo?4e0EIJ?
253;Полина Юльевна Морозова;2768;Двигатель прогресса;1535000;Полина_ЮМ;hy2CbU.JKY
254;Парфен Герасимович Зайцев;9578;Двигатель прогресса;1203000;Парфен_ГЗ;NBbfFzwY6G
255;Пантелеймон Эдуардович Кононов;2222;Молодой новатор;1526000;Пантелеймон_ЭК;vHQrE75qWs
256;Аверкий Тимурович Ефимов;8670;Меняющие реальность;2836000;Аверкий_ТЕ;oTzxRqQ.sK
257;Семен Еремеевич Веселов;3409;Лидеры инноваций;1468000;Семен_ЕВ;r7MTx51(yq
258;Всеволод Давидович Кулаков;9162;Молодой новатор;1501000;Всеволод_ДК;z?xnwhi9uv
259;Никодим Исидорович Гурьев;9473;Лидеры инноваций;2887000;Никодим_ИГ;Z3x8mD)E9z
260;Вера Викторовна Пономарева;3982;Молодой новатор;1140000;Вера_ВП;TFIsEvv5aZ
261;Екатерина Юрьевна Иванова;4486;Проект будущего;2916000;Екатерина_ЮИ;6o916!g9t5
262;Ангелина Рудольфовна Артемьева;7494;Молодой новатор;NULL;Ангелина_РА;8s7IWnAKic
263;Елена Вадимовна Королева;2578;Молодой новатор;768000;Елена_ВК;MoxBrBcmwZ
264;Автоном Венедиктович Шилов;2822;Двигатель прогресса;194000;Автоном_ВШ;EqaW?PIJjW
